Bosnia and Herzegovina,EUR,"3,722,084","5,630.79",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,% of MDR-TB that is XDR-TB,,9.00%,"3,400.0","2,300.0",,0,0,34.00%,782,,782,0.00%,100.00%,"2,226.40",0.00,"2,226.40",0.00,"5,450.60",65.90%,65.90%,0.00,"7,524.55",66.98,1,0.00%,1,1.60%,,62.50,3.20%,109,6,5.51%,163.97,2.23,0.86,0.13,1.23,6.62,10,4,38.00%,16.22,0.67,"7,527.45",1.90%,6.60%,0.10%,0.40%,1.90%,6.60%,0.10%,0.40%,39%,5.98%,55.36%,42%,6.48%,51.63%,38.65%,5.98%,55.36%,100.00%,A
Botswana,AFR,"2,014,866","18,661.80",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,,,,"8,000.0","11,000.0",81%,"6,147","4,018",81.00%,"8,910","5,824","3,086",65.37%,34.63%,"10,589.54","6,921.88","3,667.66","11,743.15","6,222.29",65.90%,65.90%,"10,602.62","8,589.87",373.52,45,2.50%,51,6.60%,"1,800.00",772.73,3.73%,299,92,30.82%,633.68,55.01,17.19,2.66,35.15,36.94,27,10,38.00%,62.67,2.58,"19,250.08",,,,,10.53%,10.45%,1.50%,2.12%,28%,4.37%,67.43%,39%,6.09%,54.59%,31.26%,4.84%,63.90%,100.00%,A
Brazil,AMR,"196,796,269","270,727.00",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,% global antiretroviral treatment coverage (TB/HIV+),,46.00%,"110,000.0","86,000.0",63%,"51,764","9,338",63.00%,"54,180","9,774","44,406",18.04%,81.96%,"80,438.15","14,510.69","65,927.46","45,679.49","207,538.87",65.90%,65.90%,"41,242.97","286,507.19","5,061.28",21,1.40%,552,7.50%,"1,500.00","7,360.00",6.47%,"7,114",573,8.05%,"15,932.86",320.38,110.99,17.18,192.21,500.57,640,243,38.00%,"1,575.78",64.80,"328,135.35",,,,,5.44%,11.74%,0.83%,2.16%,34%,5.19%,61.26%,41%,6.27%,53.22%,34.64%,5.36%,59.99%,100.00%,B
British Virgin Islands,AMR,"27,224",,IPT,2HRZE/4HR,IPT,2HRZE/4HR,,,,,2.0,1.0,,0,0,34.00%,0,,0,0.00%,100.00%,0.81,0.00,0.81,0.00,0.00,65.90%,65.90%,0.00,0.00,0.18,0,2.20%,0,14.00%,,,19.40%,0,0,0.00%,0.00,0.00,0.00,0.00,0.00,0.02,0,0,38.00%,0.00,0.00,0.00,,,,,5.44%,11.74%,0.83%,2.16%,34%,5.19%,61.26%,41%,6.27%,53.22%,34.49%,5.34%,60.17%,100.00%,B
Brunei Darussalam,WPR,"388,662",610.92,IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Proportion of new TB cases that are MDR-TB,1282.719522,3.40%,380.0,270.0,100%,237,1,100.00%,270,1,269,0.42%,99.58%,217.62,0.92,216.70,2.08,490.33,65.90%,65.90%,1.88,676.90,47.66,0,0.68%,0,0.00%,,,19.40%,74,0,0.00%,107.85,0.00,0.00,0.00,0.00,4.71,7,3,38.00%,10.67,0.44,679.21,,,,,5.08%,13.36%,0.84%,2.79%,34%,5.26%,60.73%,40%,6.27%,53.24%,40.49%,6.27%,53.24%,100.00%,A
Bulgaria,EUR,"7,395,599","8,693.79",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Proportion of retreatment TB cases that are MDR-TB,194.7444697,20.00%,"3,500.0","2,800.0",67%,"1,773",2,67.00%,"1,876",2,"1,874",0.11%,99.89%,"2,619.68",2.96,"2,616.72",9.18,"8,124.73",65.90%,65.90%,8.28,"11,216.19",164.09,16,2.30%,40,23.00%,695.65,173.91,6.44%,225,56,24.84%,509.49,34.49,9.12,1.41,23.96,16.23,20,8,38.00%,50.39,2.07,"11,261.04",,,,,14.08%,20.62%,2.88%,4.78%,25%,3.93%,70.68%,37%,5.74%,57.16%,26.45%,4.09%,69.46%,100.00%,A
Burkina Faso,AFR,"15,605,217","177,180.00",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,,2015.54089,,"14,000.0","9,100.0",93%,"4,761",839,93.00%,"8,463","1,491","6,972",17.62%,82.38%,"7,707.82","1,358.30","6,349.52","26,446.52","123,627.24",65.90%,65.90%,"23,877.96","170,667.28","1,266.89",1,1.90%,30,20.00%,52.63,150.00,15.30%,"2,142",25,1.17%,"24,666.68",69.49,20.27,3.14,46.08,125.30,193,73,38.00%,"2,439.56",100.33,"194,715.05",,,,,10.53%,10.45%,1.50%,2.12%,28%,4.37%,67.43%,39%,6.09%,54.59%,29.17%,4.52%,66.32%,100.00%,A
Burundi,AFR,"8,766,930","374,071.00",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,XDR-TB Treatment Coverage,,38.00%,"20,000.0","14,000.0",71%,"5,511","1,260",71.00%,"9,940","2,273","7,667",22.86%,77.14%,"13,610.00","3,111.70","10,498.30","83,142.73","280,507.72",65.90%,65.90%,"75,067.67","387,240.62",354.90,22,2.60%,2,13.00%,846.15,15.38,2.79%,557,24,4.31%,"9,482.70",100.11,30.09,4.66,65.36,35.10,50,19,38.00%,937.85,38.57,"462,446.96",,,,,10.53%,10.45%,1.50%,2.12%,28%,4.37%,67.43%,39%,6.09%,54.59%,30.06%,4.65%,65.29%,100.00%,A
Cambodia,WPR,"14,308,740","181,934.00",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Drug-Susceptible-TB Treatment Coverage,,65.90%,"130,000.0","63,000.0",77%,"32,236","2,112",77.00%,"48,510","3,178","45,332",6.55%,93.45%,"57,325.25","3,755.77","53,569.48","10,846.06","154,700.15",65.90%,65.90%,"9,792.66","213,563.39","5,164.03",1,1.40%,30,11.00%,71.43,272.73,9.01%,"11,710",31,0.26%,"14,912.89",9.49,3.30,0.51,5.68,510.73,"1,054",400,38.00%,"1,474.90",60.66,"223,426.20",,,,,5.08%,13.36%,0.84%,2.79%,34%,5.26%,60.73%,40%,6.27%,53.24%,34.74%,5.38%,59.88%,100.00%,A
Cameroon,AFR,"19,970,495","165,351.00",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,,,,"67,000.0","54,000.0",78%,"19,117","8,314",78.00%,"42,120","18,318","23,802",43.49%,56.51%,"46,980.00","20,431.64","26,548.36","62,562.83","81,292.54",65.90%,65.90%,"56,486.55","112,224.27","6,388.20",0,2.60%,35,13.00%,,269.23,13.00%,"8,710",35,0.40%,"19,561.02",18.90,5.68,0.88,12.34,631.80,784,298,38.00%,"1,934.61",79.56,"168,809.28",,,,,10.53%,10.45%,1.50%,2.12%,28%,4.37%,67.43%,39%,6.09%,54.59%,30.06%,4.65%,65.29%,100.00%,A
