Disease,"  Active TB/HIV,  Treatment Regimen",  Active TB/HIV- Treatment Regimen,  MDR-TB Treatment Regimen,,,  XDR-TB Treatment Regimen,total impact,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total
Tonga,0,220.68,0,0,0,0.14,220.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,220.82
Trinidad and Tobago,168.03,868.22,0,0,0,0.73,"1,036.98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.69,9.26,269.16,0.08,18.38,235.2,26.4,37.64,55.95,73.38,41.34,0.05,"1,110.52", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,147.50"
Tunisia,428.84,"13,956.90",1.71,0.27,6.03,0.6,"14,394.34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.99,0.1,13.54,0,14.78,14.2,2.05,0.26,20.57,6.63,0,0,105.11, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"14,499.46"
Turkey,"1,991.52","123,323.77",97.01,15.02,249.78,17.19,"125,694.28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.52,0.01,10.59,0,11.47,10.67,1.51,0.14,16.22,4.96,0,0,81.08, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"125,775.37"
Turkmenistan,0,"37,862.24",0,0,0,6.8,"37,869.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0.19,0.46,0,0.72,0.42,0,0.14,0.78,0,0,0,4.1, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"37,873.14"
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,0
Uganda,"340,415.48","443,612.21",7.07,1.09,15.9,101.23,"784,152.98","3,399,503.48",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,399,503.48",0,0,0,0,0,0,0,0,"3,399,503.48","93,871.15","1,326.57","38,220.80",0,"42,762.43","38,469.35","5,061.60","1,463.21","58,799.73","16,622.95",0,0,"296,597.79", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"8,421.81","8,421.81",,  -   ,  -   ,"7,888,179.53"
Ukraine,"32,537.09","249,688.79","1,458.98",225.88,"2,513.62",247.14,"286,671.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,621.17",30.42,"2,299.31",0,"2,525.55","2,404.66",342.29,53.87,"3,500.42","1,108.17",0,0,"17,885.86", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"304,557.36"
United Arab Emirates,85.09,"2,601.91",0,0,0,1.76,"2,688.76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.09,0.17,14.43,0,15.81,14.74,2.06,0.31,22.07,6.74,0,0,111.44, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,800.20"
United Kingdom of Great Britain and Northern Ireland,"3,483.43","17,831.05",6.69,1.04,16.44,1.04,"21,339.68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.53,3.95,9.61,0,14.97,8.8,0,3,16.11,0,0,0,84.95, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"21,424.63"
United States,"2,413.29","39,882.90",0,0,0,28.12,"42,324.31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,156.17",31.03,906.43,0.43,61.63,790.35,88.52,127.3,188.6,246.02,138.6,0.26,"3,735.34", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"46,059.65"
Uruguay,300.21,"2,392.18",0.19,0.03,0.35,1.84,"2,694.81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.78,9.1,286.57,0.43,18.05,247.43,26.17,39.8,58.02,72.66,40.88,0.26,"1,159.16", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,853.97"
US Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Uzbekistan,"1,907.28","135,928.79",121.55,18.82,426.12,211.21,"138,613.77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.87,2.87,172.27,0,190.05,179.53,25.3,4.45,262.76,81.97,0,0,"1,341.09", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"139,954.86"
Vanuatu,0,"2,357.46",0,0,0,1.52,"2,358.99",10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,0,0,0,0,16.51,0,0,16.51,26.64,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,14.67, ,13.27,7.63,0.63,0.76, ,30.49,20.9,1.4,52.79,,  -   ,,,  -   ,"2,448.54"
Venezuela,"2,175.62","32,876.26",0,0,0,23.36,"35,075.23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.24,0,0,0,0,0,0,26.24,26.24,"1,220.48",30.94,972.75,2.2,61.39,831.36,88.67,139.51,200.53,246.28,138.64,1.31,"3,934.07",191.87, ,195.7,24.86, ,161.41, ,387.35,387.58,24.86,548.77,961.2,42.86,42.86,,,  -   ,"40,039.60"
Viet Nam,"28,599.78","483,209.13",15.19,2.35,32.27,340.04,"512,198.75",0,0,571.5,0,0,0,0,0,0,0,0,0,0,0,571.5,254.81,0,0,0,0,0,0,254.81,826.3,"14,269.24",162.34,"5,824.63",0,"6,487.22","5,883.03",787.68,193.74,"8,955.28","2,582.73",0,0,"45,145.89", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"558,742.44"
Wallis and Futuna Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
West Bank and Gaza Strip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Yemen,0,"237,963.50",0,0,0,14.25,"237,977.75",0,"64,662.03",0,0,0,0,0,0,0,0,0,0,0,0,"64,662.03",617.83,0,0,0,0,0,0,617.83,"65,279.86",0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"1,317.88","1,317.88",,  -   ,  -   ,"369,237.52"
Zambia,"125,717.52","102,242.08",0,0,0,190.02,"228,149.63","601,688.29",0,0,0,0,0,0,0,0,0,0,0,0,0,"601,688.29",0,0,0,0,0,0,0,0,"601,688.29","8,488.40",151.68,"3,454.23",0,"3,895.70","3,387.24",426.1,153.45,"5,350.69","1,412.88",0,0,"26,720.38", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,"1,458,246.59"
Zimbabwe,"192,438.06","85,114.52",11.28,1.75,24.24,244.8,"277,834.66","6,540.44",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,540.44",0,0,0,0,0,0,0,0,"6,540.44","46,707.81",702.86,"19,019.08",0,"21,330.67","18,980.05","2,465.05",755.13,"29,330.72","8,120.25",0,0,"147,411.64", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,"438,327.17"
