Disease,"  Active TB/HIV,  Treatment Regimen",  Active TB/HIV- Treatment Regimen,  MDR-TB Treatment Regimen,,,  XDR-TB Treatment Regimen,total impact,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total
Central African Republic,"42,302.14","133,261.72",0,0,0,2.13,"175,565.99","245,153.80",0,0,0,0,0,0,0,0,0,0,0,0,0,"245,153.80",0,0,0,0,0,0,0,0,"245,153.80","6,614.59",37.02,"2,711.50",0,"2,976.46","2,803.79",394.79,63.59,"4,136.60","1,284.40",0,0,"21,022.73", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,19.72,19.72,,14.14,14.14,"686,930.17"
Chad,"23,419.15","169,479.83",0,0,0,132.48,"193,031.46","340,840.44",0,0,0,"283,704.90",0,0,0,0,0,0,0,0,0,"624,545.35",0,0,0,0,0,0,0,0,"624,545.35","11,493.72",99.33,"4,708.86",0,"5,202.03","4,777.15",651.62,133.94,"7,219.49","2,135.12",0,0,"36,421.26", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"1,154.28","1,154.28",,16,16,"1,479,713.70"
Chile,"2,984.71","15,278.23",2.85,0.44,4.96,1.17,"18,272.37",0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0.05,279.66,7.06,222.64,0.17,13.99,194.34,20.36,29.81,44.16,56.5,31.77,0.1,900.54, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"19,173.00"
China,"39,843.43","1,896,250.56",108.67,16.82,183.48,"1,166.40","1,937,569.36",0,0,45.49,0,39.07,0,0,45.52,43.34,0,0,0,0,0,173.42,406.71,0,0,0,0,0,0,406.71,580.13,"17,575.57",44.85,"7,237.98",0,"7,890.51","7,463.24","1,063.62",129.27,"11,040.51","3,465.85",0,0,"55,911.39", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,  -   ,"1,994,234.30"
"China, Hong Kong SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
"China, Macao SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Colombia,"10,682.95","51,059.39",24.76,3.83,42.89,9.2,"61,823.01",0,0,0,28.9,0,0,0,0,0,0,0,0,0,0,28.9,58.85,0,0,0,0,0,0,58.85,87.75,722.55,19.74,563.6,0,39.2,493.93,56.19,78.93,117.85,156.2,88.03,0,"2,336.21","1,642.97","1,066.85", ,453.05,56.13,100.8,175.27, ,"2,709.82",509.18,276.07,"3,495.06",,  -   ,,,  -   ,"67,770.94"
Comoros,0,"11,366.45",0,0,0,7.33,"11,373.78","16,347.34",0,0,0,0,0,0,0,0,0,0,0,0,0,"16,347.34",47.66,36.95,37.83,19.87,47.66,20.91,37.83,248.69,"16,596.03",0.05,0,0.02,0,0.02,0.02,0,0,0.03,0.01,0,0,0.15,116.21, , ,42.9, ,15.26, , ,116.21,42.9,15.26,174.37,,  -   ,2.74,,2.74,"44,494.41"
Republic of the Congo,"7,742.29","52,371.63",0,0,0,41.44,"60,155.35",0,0,0,0,"142,676.35",0,0,0,0,0,0,0,0,0,"142,676.35",0,0,0,0,0,0,0,0,"142,676.35","7,507.35",134.66,"3,037.84",0,"3,430.14","3,071.67",397.49,138.21,"4,674.50","1,302.19",0,0,"23,694.06",204.01, , ,94.04, ,34.96, ,45.35,204.01,94.04,80.31,378.36,595.61,595.61,,22.24,22.24,"370,198.31"
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
